Geneid,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK021_22F,AK029_30F,AK034F,AK098F,AK102F,AK117F,AK123F,AK133F,AK134F,AK135F,AK136F,AK137F,AK138F
ENSG00000089199,22,9,30,6,0,107,76,78.17,98,213.33,234,177.5,45,131,20,129,40,184,107,32,29,54,119
ENSG00000089195,198,143,232,105,7,609,606,652.25,766,1074,1132.5,1115,197,933.17,193.5,899.5,367,1102.33,606,99,242,483,959.5
ENSG00000125885,175,155,229,59,10,557.03,478,506,617,555.03,503,649,183,782.02,108,689.04,187.5,832.08,273.2,53,129,341.5,716
ENSG00000088766,434,410,633,157,13,518,472.17,524,505,1212,814,969.67,375,788,324,689,215,1596,798.5,127,214,572,753
ENSG00000125872,1,0,4.11,0.09,1,0,2,1,3,2.5,1,4,0,0,1,2,0,4,1,0,0,0,2
ENSG00000101311,79,76,147.33,26,0,255,268,301,296,259.5,272,312,121,410,88,335,110,431,207.5,18,88,255,311
ENSG00000125845,3,0,3,7,3,1,8,10,6,27,16,28,4,9,7,5,7,12,13,8,1,1,6
ENSG00000101323,0,0,0,0,0,0,0,3,1,1,2,2,0,0,0,2,0,3,0,0,0,0,0
ENSG00000125827,395.2,269,381,112,10,428,502,469,583.25,836.5,660,843.5,292,644.5,176,530,145,1486,533,82,194,412,537.5
ENSG00000182621,9,22,18,3,1,19,25,32,37,28.5,19.5,27,12.5,23,5,43,10,62,20,6.25,8,17,40
ENSG00000101333,110,87,173,66,8,330,315,349.5,409,393,375,416.33,177,527.33,84,414,105,415,202,57.33,94,234,790.33
ENSG00000125869,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
ENSG00000101349,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,1,0
ENSG00000132623,167,130,219.5,87,8,359,299,309.33,382,591,466.25,648,138,435.67,138,427,177,625,343,59,100,222,420
ENSG00000132639,287,404,455,134,8,727,958,1017,1281,1026.5,994.5,819,347,563,95,915,282,1914,618.75,73,253,441,744
ENSG00000125863,971,996,1275,362,28,1064,1076,1018,1245.5,2991,1643,2208,762,1489.2,431,1308,461,3447,1427,306,597,1146,1670
ENSG00000149346,79,90,112,42,11,193,206,219,280,361,304,353,108,260,72,212,64,395,152,39,71,105,325
ENSG00000101384,1285.25,1419,1855,690,92,2870,4465.5,4884.5,5785.5,12457.64,9222.5,9240,3274,6660.64,2390,4566,2217,4405,2742,756,1252,2410.5,4744
ENSG00000132640,214,177,251,105,12,301,259,284,355,736.5,552,837,178,451,189,500,231,1039,532,76,148,328,473
ENSG00000172296,2,1,0,0,0,10,1,2,2,11,9,11,0,9,0,22,5,13,4,1,0,0,0
ENSG00000101230,7,1.5,5,0.11,0,6,6,8,16,14,13.33,14,2,20.33,9,13,3,19,10.5,3,1,9,6
ENSG00000089123,70.33,68,85.27,42.33,8,124.83,103.17,125.67,126.33,249.6,221,205.2,73.83,158.5,52.92,124.83,70.5,290.5,117.77,23.83,48.83,117.67,182
ENSG00000089048,75.5,83.5,158.2,98,18,577.95,483,609.5,701,659.64,888.37,1058.08,195,645.5,108.5,674,265,312.5,261,116.7,75,202.2,971
ENSG00000101247,193,207,236,134,8,216,219,261,302,712.5,480,587,125,428,122,337,119,738.33,323,83,109,237,358
ENSG00000101251,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.12,1,1,0,0
ENSG00000172264,1,2,1,0,2,3,2,1,4,6,6,16,2,12,0,2,2,9,6,0,1,1.5,3
ENSG00000125848,81,34,49,70,13,236,126,155,256,1385,704,830,106,467,186,446,448,439,368,248.14,24,88,226
ENSG00000089177,72.5,91,139,42,4,270,304,296,338.09,343,331,390,109.2,417,77,350,98,463.33,193.33,28,82,181.33,351.5
ENSG00000280240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125870,678.32,533.33,1003.5,246.33,19.83,2278.61,2081.72,2525.33,2725.08,2282.67,2565,2752.56,815.17,3192.58,599,3360.67,1116.17,3626,2114.33,249.17,597.83,1637.33,2882.33
ENSG00000125879,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125851,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.5,0,0,0,0,0,1
ENSG00000125864,19,21,39,6.5,0,70.33,53,86,67,65,73,89,29,115,20,60,26,147,59,10.5,44,47,71
ENSG00000125868,4962.83,3321.91,5504.58,1178.67,51,7729.44,8579.44,8499.94,9147.76,9110.28,8097.83,10772.91,3986,10972.94,2406.5,12721.74,3601.08,21593.01,7848.41,792.58,3520.41,6799.98,10888.61
ENSG00000125844,245.5,216.5,442.5,125,35,2000.25,2071.5,2529,2468,3640.15,3484.99,3377.49,1229.33,3764.63,555,2243,623,639,433.83,198,201,543,1268.97
ENSG00000125888,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000089006,715.67,662.08,912.83,366.67,33,1714.33,1598.67,1764.42,1999.83,2522.45,2251.27,2237.85,677.17,2554.67,604.5,2303.75,729.83,3486.7,1452.92,332.92,599.5,1700.84,2652.77
ENSG00000125871,211,198,291,79.2,6,585,548,711,719,794,852.67,959,280,875,200,793,284,1062,483,42,175,423,716
ENSG00000125850,2.25,2,0,0,0,1,0,0,0,5,1,5,0,12,5,4,3.33,7.75,3,1,0,0,0.33
ENSG00000232838,70,50,92,94,6,121,75,96,102,420,295,412,55,159,84,136,66,296,198,60,47,70,138
ENSG00000149474,91.5,87.67,135,69.5,3,160.5,177,207.5,200,436.5,431,478,112.5,309.5,115,253.5,108.5,489.5,213.5,55,98,139,249
ENSG00000125846,19,22.5,33.83,53.33,8,50.5,41.11,58.11,53.5,229.64,230.58,255.67,26.5,94.11,60,78.25,55.25,95.94,119.5,29.5,19.5,53,79.5
ENSG00000089091,11,11,9,7,1,24,20,31,57.5,71,49,58,26,55,17,50,15,69,27.25,8,8,25,91
ENSG00000132664,108,113,177,60,7,287,263,241,336,696,500,640,120,357,139,439,217,595,354,63,101,234,513.2
ENSG00000089050,262,245,381,95,1,387,315,391,449,558,430,505,220,639.5,170,451,140,1047,397,32,226,458,567
ENSG00000101310,272,248,440,106,9.33,1430,1119,1524.5,1436,1184.64,1403.5,1493.5,525,2349,382,1998.5,559,1447,705.5,111,403,1031,1651.5
ENSG00000232388,539,380,507.5,244.5,22,569.5,612,593.5,726,1866.02,1331.02,1814.5,426,901.5,408.5,989,435,2504,1412.5,293.04,370.5,756,961
ENSG00000125821,953,973.67,1317,202,6,1487.33,1491.33,1446,1513.83,2175.83,1570.33,1745.67,697,1787.33,513,1521,360,4788,1392.67,133,726,1488.67,1757.67
ENSG00000149443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000132631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185052,0,0,1,0,0,0,0,0,0.83,0.5,3,1,0,0,0,0,0,2,0.04,0,0,0,1
ENSG00000132669,420,383,633,271,12,835,842,918,1081,1710.5,1794,2082.5,522,1433,589,1049,507,2188,1298,184,449.25,981,1244
ENSG00000173418,1196.5,846,1478.5,342,16,1812.5,1662.5,1803,1817.33,3348,2744.5,3239.5,831,3026,840,2553,879,5458,2437,265,795,1815,2415
ENSG00000101343,111,94,200,72,18,719,545,744,798,594,691.34,875,265,909.5,146,948.5,303,397,277,101,127,312,970.33
ENSG00000089101,3,3.25,4,0,0,3,4,7,3,8,4,10.5,2,8,0,8,1,18,5,0,3,3,4
ENSG00000173404,0.25,0,0,0,0,0,0,0,1,0,1.33,0.17,0.33,0.33,0,0,0.5,0.2,0,0,0,0,0
ENSG00000188559,49.33,41.5,51.25,14,2.67,118,107,129,131,170.25,178.25,168.67,53,255,41,152,45,210,75,20,40,69,106.5
ENSG00000088970,45,47,73,29,0,140,96,120,126,204,168,239,48,170,54,125,53,178,109,23,35,82,179
ENSG00000088930,392,489,876.33,188,34,2884.83,2330.33,3085.5,3153,2199,2728,2747.2,1070,4112.7,535,3746.5,896,1851.5,895.75,209,611.25,1353,3123
ENSG00000125816,1,1,0,0.29,0,0.5,1,0,1,3.23,4.87,6.25,0,1.58,0.25,1,2,1.62,2.39,0,0,3,0.33
ENSG00000125820,2,0,0,0.29,0,0,0,0,0,0.73,0.67,20.38,0,1.58,1.25,0,0,0.62,0.89,0,1,0,0.33
ENSG00000125813,0.08,0,0,0,0,0,0,2,0,1,0,3.5,0,0,0,0,1,1,0,0,0,0,2
